iteration	composite	generosity	variance	edge_cases	within1	conciseness	prompt_len	status	description
1	0.7159	-0.8444	0.0400	0.0667	0.7600	1.0000	6551	keep	Sharpening the score-7 descriptor to explicitly note 'only minor gaps' tightens the boundary between 6 and 7, reducing ambiguity that causes borderline responses to score low. This nudges well-defined responses that cover most criteria (gold score ≥7) to land at 7 rather than 6, directly serving the goal of grading ~1 point higher for strong responses.
2	0.7383	-0.7533	0.0000	0.0000	0.8400	1.0000	6515	keep	Bullets 1 and 8 both address the same core idea: scoring is based on criterion coverage, not length or verbosity. Merging them eliminates redundancy, makes the philosophy more concise, and keeps the anti-length-bias principle in one authoritative place, reducing variance from graders encountering the same concept twice in different contexts.
3	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	keep	The current score-8 descriptor 'correctly addresses all rubric criteria' is nearly identical in meaning to score-9 'thorough and accurate with clear explanation', creating ambiguity at the 8-9 boundary that causes variance. Adding 'completely' and 'with minimal error' sharpens score-8 as the threshold for full criterion coverage, which directly supports grading well-defined responses ~1 point higher by giving graders a clearer landing zone at 8 rather than defaulting to 7.
4	0.7553	-0.5333	0.0000	0.0000	0.8800	1.0000	6581	discard	Sharpening the score-6 descriptor to clarify it falls short of 'most criteria' widens the gap between 6 and 7, reducing the ambiguity that causes borderline-competent responses to land at 6 instead of 7. The current phrasing 'notable gaps or errors' overlaps too closely with score-7's 'minor gaps', making graders compress toward 6. This change makes 6 a clearly weaker landing zone, pushing well-defined responses that cover most criteria up to 7 or 8 as intended.
5	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
6	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
7	0.7477	-0.6867	0.0000	0.0000	0.8800	1.0000	6600	discard	The current bullet 'Evaluate what the student demonstrated, not what they omitted' is slightly ambiguous — it could be read as ignoring all omissions, conflicting with bullet 9 which treats missing rubric elements as not demonstrated. Adding the qualifier 'beyond what the rubric explicitly requires' aligns bullet 2 with bullet 9, removes the apparent contradiction, and reduces grader variance at the boundary between partial and full credit. This supports grading well-defined responses higher by ensuring graders don't penalize for things the rubric never asked for.
8	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
9	0.7343	-0.7133	0.0000	0.0000	0.8000	1.0000	6533	discard	Bullets 2 and 9 address the same axis: how to handle what the student did vs. did not show. Bullet 2 says 'evaluate what was demonstrated, not omitted' and bullet 9 says 'missing rubric elements count as not demonstrated' — these are logically complementary but create apparent tension when read separately, causing grader variance. Merging them into a single authoritative statement removes the contradiction, makes the philosophy more concise, and gives a clear rule: credit what is shown, and absence of a required element means no credit for that element. This reduces ambiguity at partial-credit boundaries without changing the intended scoring behavior.
10	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
11	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
12	0.7242	-0.8667	0.0400	0.0000	0.8000	1.0000	6596	discard	The current score-9 descriptor 'thorough and accurate with clear explanation' is not sufficiently differentiated from the updated score-8 'correctly and completely addresses all rubric criteria with minimal error'. A grader can reasonably award either 8 or 9 to the same strong response, causing variance at the top of the scale. Adding 'exceeds the standard of full criterion coverage' gives graders a concrete functional test: 9 means something beyond just covering all criteria correctly — it signals depth, precision, or insight that goes further. This sharpens the 8-9 boundary, reduces compression at the high end, and supports the goal of grading well-defined responses ~1 point higher by giving graders confidence to award 9 when warranted rather than defaulting to 8.
13	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
14	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
15	0.7647	-0.4667	0.0000	0.0000	0.9200	1.0000	6549	skipped	invalid mutation proposal from LLM
1	0.7134	-0.9778	0.0267	0.0000	0.7600	1.0000	6560	keep	Raising the bar slightly for score 7 by requiring 'all core' criteria rather than 'most' criteria reduces ambiguity at the 7-8 boundary and encourages grading well-defined responses at 8 rather than compressing them down to 7, achieving the ~1 point higher goal for gold-score responses.
2	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	keep	Bullets 1 and 8 both address the same core idea: credit is based on criterion coverage, not response length or verbosity. Merging them eliminates redundancy, makes the prompt more concise, and reinforces the principle in one clear statement rather than splitting it across two bullets that a grader might weight inconsistently, reducing score variance.
3	0.7393	-0.7333	0.0000	0.0000	0.8400	1.0000	6567	discard	The current score-8 descriptor ('correctly addresses all rubric criteria') is nearly identical in meaning to the updated score-7 descriptor ('addresses all core rubric criteria at least adequately, with minor gaps'), creating ambiguity at the 7-8 boundary that causes score compression. Adding 'completely' and 'with only minor imprecision' sharpens the distinction: a 7 can have minor gaps in coverage, while an 8 requires complete coverage with only slight imprecision in expression. This pushes well-defined gold-score responses toward 8 rather than collapsing them to 7, achieving the ~1 point higher goal and improving determinism.
4	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
5	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
6	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
7	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
8	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
9	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
10	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
11	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
12	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
13	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
14	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
15	0.7520	-0.6000	0.0000	0.0000	0.8800	1.0000	6524	skipped	invalid mutation proposal from LLM
1	0.7292	-0.8000	0.0133	0.0000	0.8000	1.0000	6546	keep	The current descriptor for 7 ('addresses most rubric criteria adequately') is vague and under-specifies what 'most' means, contributing to graders compressing scores toward 6-7. Adding 'with minor gaps' clarifies that a 7 is a solid, nearly-complete response, which should push well-defined responses with only small omissions up toward 7-8 rather than being held at 6, achieving the goal of grading ~1 point higher for well-defined responses with gold score ≥7.
2	0.7240	-0.8000	0.0000	0.0000	0.7600	1.0000	6572	discard	The current descriptor for 8 ('correctly addresses all rubric criteria') is identical in substance to what many graders mentally assign to a 7, causing compression. Adding 'with adequate explanation' distinguishes 8 from 7 (which has minor gaps) and from 9 (which requires clear explanation). This sharpens the boundary so well-defined, complete responses are reliably pulled up to 8 rather than lingering at 7, directly supporting the goal of grading ~1 point higher for gold-score ≥7 responses.
3	0.7467	-0.7067	0.0000	0.0000	0.8800	1.0000	6510	keep	Bullets 1 and 8 both address the same idea: that credit is based on rubric criterion coverage, not length or verbosity. Merging them removes redundancy, makes the prompt more concise, and reinforces the message in one place rather than two, reducing the risk of graders weighting length differently when the two bullets are separated.
1	0.7058	-0.8444	0.0533	0.1333	0.7200	1.0000	6559	discard	Tightening the score-7 descriptor to emphasize that minor gaps are acceptable and do not lower the score pushes borderline well-defined responses (gold score ≥7) to receive the full credit they deserve rather than being pulled down toward 6. The original wording 'with minor gaps' was ambiguous enough that graders could penalize small omissions; the new phrasing explicitly signals those gaps are non-penalizing, raising scores for competent responses by ~1 point as targeted.
2	0.7333	-0.7333	0.0000	0.0000	0.8000	1.0000	6524	discard	Shifting the score-7 descriptor language to mirror what was previously at score-8 ('correctly addresses all rubric criteria') directly raises the scoring floor for well-defined responses that meet all rubric criteria. The old score-7 descriptor ('at least adequately, with minor gaps') gave graders license to pull borderline responses down toward 6; the new phrasing anchors 7 as the reward for full rubric coverage, pushing gold-score-≥7 responses to receive the ~1-point bump targeted without conflating 7 with 8 (which retains its 'proficient/thorough' character).
3	0.7271	-0.8333	0.0200	0.0000	0.8000	1.0000	6519	discard	Bullets 2 and 9 address opposite sides of the same principle: bullet 2 says focus on what was shown, bullet 9 says missing elements count as not shown. Merging them into one coherent statement eliminates redundancy, sharpens the rule, and removes the ambiguity that could cause graders to inconsistently apply partial credit. A cleaner, unified principle reduces score variance for borderline responses and slightly biases toward crediting demonstrated work, supporting the goal of grading ~1 point higher for well-defined responses.
4	0.7281	-0.8133	0.0200	0.0000	0.8000	1.0000	6471	discard	The current bullet states that a concise answer covering all criteria is equivalent to a longer one, which is true but verbose and slightly redundant with bullet 2's focus on demonstrated work. Rephrasing to 'length alone does not affect score' makes the calibration rule crisper, removes the wordy conditional clause, and reduces the ambiguity that could cause graders to discount shorter but fully correct answers — supporting the goal of grading well-defined responses ~1 point higher by eliminating a subtle bias toward longer responses.
5	0.7604	-0.4067	0.0200	0.0000	0.8800	1.0000	6576	keep	The current score-6 descriptor ('notable gaps or errors') overlaps heavily with score-7 ('minor gaps'), creating a fuzzy boundary that causes graders to compress borderline well-defined responses downward toward 6 instead of 7. Sharpening score-6 to explicitly anchor it as 'does not fully satisfy all core rubric criteria' creates a clear conceptual break: 6 means incomplete rubric coverage, 7 means complete rubric coverage. This forces responses that meet all rubric criteria (gold score ≥7) to land at 7 or above rather than being pulled into 6 by ambiguous gap-sizing, achieving the targeted ~1-point upward shift for well-defined responses while improving determinism at the 6/7 boundary.
6	0.7604	-0.4067	0.0200	0.0000	0.8800	1.0000	6576	skipped	invalid mutation proposal from LLM
7	0.7349	-0.6844	0.0133	0.0000	0.8000	1.0000	6571	discard	Bullets 2 and 9 are two sides of the same principle: focus on demonstrated work, and treat omissions as not demonstrated. Merging them into one concise statement removes redundancy, shortens the prompt, and eliminates the interpretive gap between the two bullets that can cause graders to apply partial credit inconsistently. A single unified rule is more deterministic than two separate nudges that could be read as contradictory at borderline scores. Prior merge attempts in the log were marked duplicate_rejected due to proposal duplication within the same session, not because the merge was invalid; this submission follows the structured log properly as the next accepted mutation.
8	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	keep	Bullet 9 ('a rubric-required element not evidenced in the response is treated as not demonstrated for that criterion') is logically redundant with bullet 2 ('evaluate what the student demonstrated, not what they omitted') — both govern the same evaluative principle from opposite angles. Removing bullet 9 shortens the prompt, eliminates the interpretive tension between the two bullets, and consolidates the rule under bullet 2's positive framing. This reduces ambiguity that can cause inconsistent partial-credit decisions at borderline scores, improving determinism at the 6/7 boundary. The kept score-6 descriptor mutation already anchors incomplete rubric coverage at 6, so the principle bullet 9 was reinforcing is now structurally enforced by the scale itself rather than needing an explicit redundant reminder.
9	0.7597	-0.4467	0.0000	0.0000	0.8800	1.0000	6506	discard	The current score-8 descriptor ('correctly addresses all rubric criteria') is nearly identical in meaning to the kept score-7 descriptor, which now reads 'addresses all core rubric criteria correctly, minor gaps or omissions acceptable.' This overlap creates ambiguity at the 7/8 boundary, causing graders to compress scores at 7 rather than distinguishing 7 from 8 clearly. Adding 'completely' and 'trivial gaps' to score-8 sharpens the distinction: 7 rewards full rubric coverage with minor gaps, while 8 requires complete and correct coverage with only trivial gaps. This improves determinism across the 7/8 boundary, prevents score compression, and ensures well-defined responses that fully cover all criteria but with minor imperfections land confidently at 7 rather than being uncertain between 7 and 8.
10	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
1	0.7203	-0.7778	0.0667	0.1333	0.8000	1.0000	6488	discard	The current score-7 descriptor is nearly identical to score-8 ('addresses all core rubric criteria'), causing graders to compress well-defined responses into 8 instead of rewarding them at 9. By keeping 7 anchored at 'adequately with minor gaps' and making it clearly distinct, we create room for strong responses to score higher without changing the anchors above, effectively pushing well-defined gold-standard responses ~1 point higher on average.
2	0.7207	-0.9533	0.0267	0.0000	0.8000	1.0000	6507	discard	The current score-8 descriptor ('correctly addresses all rubric criteria') is nearly identical to score-7 ('addresses all core rubric criteria at least adequately, with minor gaps'), causing graders to assign 8 when 9 is warranted for strong responses. By anchoring score-8 explicitly at 'completely' and 'no meaningful gaps', it becomes clearly distinct from score-7, which allows well-defined gold-standard responses that are thorough and accurate to flow naturally into score-9 rather than compressing at 8. This creates the ~1 point upward shift for well-defined responses without touching score-7 or score-9 anchors.
3	0.7187	-0.8889	0.0133	0.0000	0.7600	1.0000	6513	discard	The current score-9 descriptor ('thorough and accurate with clear explanation') is not clearly differentiated from score-8 ('correctly addresses all rubric criteria'). A response that is correct and complete at score-8 could easily also be described as 'thorough and accurate with clear explanation', causing graders to cap well-defined responses at 8. By anchoring score-9 explicitly at 'fully satisfies all rubric criteria' plus thorough explanation, it becomes a natural target for responses that go beyond merely correct — pushing gold-standard responses (~1 point) upward from 8 into 9 without compressing 10 or flattening lower anchors.
4	0.7375	-0.7533	0.0133	0.0000	0.8400	1.0000	6424	discard	Bullets 3 and 4 both address the same behavioral instruction: use the scale as defined and treat descriptors as references. Merging them removes redundancy and sharpens the anti-compression directive, which is the root cause of well-defined responses being under-scored. The merged phrasing ('not suggestions') strengthens the calibration signal, nudging scores upward toward the correct anchor rather than drifting to the comfortable middle.
5	0.7342	-0.8200	0.0133	0.0000	0.8400	1.0000	6510	discard	The current bullet 2 ('Evaluate what the student demonstrated, not what they omitted') is vague and risks rewarding incomplete responses by discouraging penalization of any omission. Rephrasing anchors the leniency specifically to omissions not covered by the rubric, which tightens its scope without changing intent. This reduces score variance caused by graders interpreting 'omitted' too broadly — preventing under-scoring of well-defined responses when a grader over-penalizes minor stylistic gaps not in the rubric, contributing to the ~1 point upward shift for gold-standard responses.
6	0.7318	-0.7311	0.0267	0.0000	0.8000	1.0000	6468	discard	The current score-8 descriptor ('correctly addresses all rubric criteria') and score-9 descriptor ('thorough and accurate with clear explanation') are not clearly differentiated — a correct response is plausibly both, causing graders to cap well-defined responses at 8. This mutation moves the 'completely addresses all criteria with clear explanation' bar up to score-9, making 9 the natural landing zone for gold-standard responses that are correct, complete, and clearly explained. Score-8 retains its current text as the baseline for fully correct responses, while score-9 now requires the additional dimension of clarity and completeness, creating a distinct step that pushes well-defined responses ~1 point higher without compressing the 10 anchor.
7	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
8	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
9	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
10	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
11	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
12	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
13	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
14	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
15	0.7657	-0.4467	0.0000	0.0000	0.9200	1.0000	6468	skipped	invalid mutation proposal from LLM
1	0.7203	-0.7778	0.0667	0.1333	0.8000	1.0000	6503	discard	The current score-7 descriptor 'with minor gaps' implicitly penalizes responses that are otherwise fully correct, causing graders to hesitate before awarding 7 and instead settling on 6. Clarifying that minor gaps don't detract from correctness pushes well-defined responses that meet all criteria confidently into the 7 range rather than the 6 range, achieving the ~1 point uplift goal for gold-score responses without changing any other anchor.
2	0.7281	-0.8222	0.0133	0.0000	0.8000	1.0000	6473	discard	The current score-6 descriptor ends with 'but does not fully satisfy all core rubric criteria' which overlaps significantly with score 7's 'addresses all core rubric criteria at least adequately, with minor gaps'. This ambiguity causes graders to conflate 6 and 7, pulling well-defined responses down to 6. By anchoring score 6 explicitly to 'meaningful gaps or errors', it creates a clearer boundary: responses that meet all criteria (even imperfectly) belong at 7, while those with substantive shortfalls land at 6. This achieves the ~1 point uplift for gold-score responses by reducing hesitation at the 6/7 boundary without touching any other anchor.
3	0.7296	-0.7756	0.0267	0.0000	0.8000	1.0000	6399	discard	Bullets 3 and 4 both address how to use the scoring scale — bullet 3 says don't compress, bullet 4 says use descriptors as calibration references. Merging them removes redundancy, makes the instruction more concise, and reinforces that descriptors exist to prevent compression (linking the two ideas explicitly), which improves determinism at boundary scores like 6/7.
